2017-07-04 17:30:55 |   Monitoring | mon_iface: undefined
2017-07-04 17:30:55 |   Monitoring | Интерфейс не выбран
2017-07-04 17:31:29 |   Monitoring | mon_iface: undefined
2017-07-04 17:31:29 |   Monitoring | Интерфейс не выбран
2017-07-04 17:31:31 |   Monitoring | mon_iface: undefined
2017-07-04 17:31:31 |   Monitoring | Интерфейс не выбран
2017-07-04 17:31:43 |        MYSQL | SAVE_SETTINGS
2017-07-04 17:32:16 |     MYSQL | SAVE_SETTINGS
2017-07-04 17:34:05 |        MYSQL | SAVE_SETTINGS
2017-07-04 17:36:31 | MYSQL        | SAVE_SETTINGS
2017-07-04 19:30:17 | AP           | Начинаем остановку ТД
2017-07-04 19:30:17 | AP           | ТД остановлена
2017-07-04 20:31:44 | AP           | Начинаем остановку ТД
2017-07-04 20:31:44 | AP           | ТД остановлена
2017-07-04 20:31:59 | AP           | host: wlan1, gate: eth1, essid: , sec: wpa2, psk: , channel: 9
2017-07-04 20:31:59 | AP           | Выбранны некорректные параметры
2017-07-04 20:32:14 | AP           | host: wlan1, gate: eth1, essid: test, sec: wpa2, psk: 123123123, channel: 9
2017-07-04 20:32:14 | AP           | Начинаем запуск ТД
2017-07-04 20:32:16 | AP           | Сервис hostapd запущен
2017-07-04 20:32:17 | AP           | DHCP/DNS сервер запущен
2017-07-04 20:32:17 | AP           | Добавлены правила маршрутизации в iptables
2017-07-04 20:32:17 | AP           | ТД test запущена на интерфейсе wlan1
2017-07-04 20:35:12 | MYSQL_ER     | (1213, 'Deadlock found when trying to get lock; try restarting transaction')
2017-07-04 20:35:12 | INSERT_ERROR | Не удалось выполнить вставку клиента.
2017-07-04 20:43:42 | AP           | Начинаем остановку ТД
2017-07-04 20:43:42 | AP           | ТД остановлена
2017-07-07 21:57:03 | GET_CUR_LOCATION | SUCCESSFULL, timeout 3
2017-07-07 21:57:09 | GET_CUR_LOCATION | SUCCESSFULL, timeout 3
2017-07-07 21:57:17 | GET_CUR_LOCATION | SUCCESSFULL, timeout 3
2017-07-07 21:57:22 | GET_CUR_LOCATION | SUCCESSFULL, timeout 3
2017-07-07 21:57:39 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:09 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:13 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:23 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:35 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:36 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:37 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:38 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:39 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:58:40 | GET_CUR_LOCATION | SUCCESSFULL, timeout 1
2017-07-07 21:59:19 | GET_CUR_LOCATION | SUCCESSFULL, timeout 5
2017-07-07 22:02:54 | GET_CUR_LOCATION | SUCCESSFULL, timeout 5
2017-07-07 22:04:50 | GET_CUR_LOCATION | SUCCESSFULL, timeout 5
